SMILES,ABL1,ACHE,ADRB2,AR,BRAF,COX2,DRD2,EGFR,HDAC1,HTR2A,JAK2,MAOA,VEGFR2
Br.Br.COc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.CCCCn1c(=N)n(CC(=O)c2ccc(Br)s2)c2ccccc21,0,0,0,0,0,0,0,0,0,0,0,0,0
Br.COc1c(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.COc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.COc1ccc(Cl)cc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.COc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.COc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.COc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.COc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Cc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Cc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Cc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)c(C)c1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Cc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(C)c1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Cc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(C)c1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Clc1cc(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1Cl,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Clc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3)CC2)cc1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3cccc(Cl)c3)CC2)cc1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3Cl)CC2)cc1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.Oc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,0,0,0,0,0,0,1,0,0,0,0,0,0
Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3cccnc3)CC2)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccncc3)CC2)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,0,1,0,0,0,0,0,0,0,0,0,0,0
Brc1cccc(Nc2ccnc3ccccc23)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brc1cccc(Nc2ncc(-c3ccccc3)s2)n1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brc1cccc(Nc2nccc3ccccc23)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,0,0,0,0,0,0,0,1,0,0,0,0,0
